[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1652344573.390000 5/12/2022, 5:36:13 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.58,  Build 076

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: PtFe_MH20211209.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1652369257.109,,1.600000e+003,1.999953e+001,1.850095e-002,1.605532e-006,3,9.932287e-001,8.678108e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.068924e-003,0.000000e+000,0,0,0,
1652369381.265,,1.800000e+003,1.999784e+001,2.078622e-002,1.567863e-005,3,9.927515e-001,7.542799e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.068924e-003,0.000000e+000,0,0,0,
1652369501.921,,2.000000e+003,1.999723e+001,2.303630e-002,2.145406e-005,3,9.925724e-001,9.313154e-002,,,,,,,,,,,,,,32,2,4.000000e+000,3.679276e-003,0.000000e+000,0,0,0,
1652369622.406,,2.200000e+003,1.999784e+001,2.531878e-002,1.868950e-006,3,9.926703e-001,7.381674e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.909515e-003,0.000000e+000,0,0,0,
1652369738.750,,2.400000e+003,1.999999e+001,2.757430e-002,4.586104e-006,3,9.926718e-001,1.663181e-002,,,,,,,,,,,,,,32,2,4.000000e+000,9.208679e-003,0.000000e+000,0,1,0,
1652369860.781,,2.600000e+003,2.000137e+001,2.985483e-002,1.780704e-006,3,9.927784e-001,5.964543e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.070831e-003,0.000000e+000,0,1,0,
1652369977.281,,2.800000e+003,2.000045e+001,3.210926e-002,6.116562e-006,3,9.927983e-001,1.904921e-002,,,,,,,,,,,,,,32,2,4.000000e+000,2.460480e-003,0.000000e+000,0,1,0,
1652370095.984,,3.000000e+003,2.000199e+001,3.440208e-002,4.601910e-006,3,9.927665e-001,1.337684e-002,,,,,,,,,,,,,,32,2,4.000000e+000,1.840591e-003,0.000000e+000,0,1,0,
1652370219.859,,3.200000e+003,1.999969e+001,3.669380e-002,3.311163e-006,3,9.927633e-001,9.023767e-003,,,,,,,,,,,,,,32,2,4.000000e+000,9.820938e-003,0.000000e+000,0,1,0,
1652370341.250,,3.400000e+003,1.999938e+001,3.897924e-002,4.485844e-008,3,9.927069e-001,1.150829e-004,,,,,,,,,,,,,,32,2,4.000000e+000,7.369995e-003,0.000000e+000,0,0,0,
1652370463.500,,3.600000e+003,1.999892e+001,4.126804e-002,2.531446e-006,3,9.927144e-001,6.134158e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.412010e-002,0.000000e+000,0,0,0,
1652370587.000,,3.800000e+003,1.999830e+001,4.356489e-002,1.087919e-006,3,9.927033e-001,2.497237e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.688812e-003,0.000000e+000,0,0,0,
1652370723.859,,4.000000e+003,1.999800e+001,4.584641e-002,1.037866e-006,3,9.929880e-001,2.263789e-003,,,,,,,,,,,,,,32,2,4.000000e+000,2.458572e-003,0.000000e+000,0,0,0,
1652370843.890,,4.200000e+003,1.999738e+001,4.812802e-002,1.588412e-006,3,9.927277e-001,3.300389e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.909515e-003,0.000000e+000,0,0,0,
1652370967.812,,4.400000e+003,1.999631e+001,5.042175e-002,2.167930e-006,3,9.926670e-001,4.299593e-003,,,,,,,,,,,,,,32,2,4.000000e+000,3.070831e-003,0.000000e+000,0,0,0,
1652371089.046,,4.600000e+003,1.999907e+001,5.270542e-002,4.770497e-006,3,9.925900e-001,9.051246e-003,,,,,,,,,,,,,,32,2,4.000000e+000,4.909515e-003,0.000000e+000,0,0,0,
1652371206.984,,4.800000e+003,2.000014e+001,5.496113e-002,2.810669e-006,3,9.926150e-001,5.113922e-003,,,,,,,,,,,,,,32,2,4.000000e+000,7.369995e-003,0.000000e+000,0,1,0,
1652371329.968,,5.000000e+003,2.000168e+001,5.722638e-002,1.780704e-006,3,9.926903e-001,3.111684e-003,,,,,,,,,,,,,,32,2,4.000000e+000,1.230240e-003,0.000000e+000,0,1,0,
1652371456.515,,6.000000e+003,2.000782e+001,6.842186e-002,6.780376e-006,3,9.926054e-001,9.909664e-003,,,,,,,,,,,,,,32,2,4.000000e+000,7.989883e-003,0.000000e+000,0,1,0,
